
Tentativa: 1  X: 6.0999999999999925  |  Y: 14.299999999999992   |   R: 20.18737438680956

Tentativa: 2  X: 10.8  |  Y: 2.099999999999999   |   R: 12.465642892505173

Tentativa: 3  X: 10.099999999999996  |  Y: 18.200000000000028   |   R: 28.119547713953814

Tentativa: 4  X: 2.6000000000000014  |  Y: 2.600000000000001   |   R: 4.633233925779512

Tentativa: 5  X: 2.099999999999999  |  Y: 18.80000000000004   |   R: 20.440981562370197

Tentativa: 6  X: 14.099999999999993  |  Y: 14.099999999999996   |   R: 28.11306881127421

Tentativa: 7  X: 10.8  |  Y: 2.100000000000001   |   R: 12.465642892505173

Tentativa: 8  X: 6.0999999999999925  |  Y: 14.299999999999992   |   R: 20.18737438680956

Tentativa: 9  X: 2.1  |  Y: 18.799999999999997   |   R: 20.440981562370197

Tentativa: 10  X: 14.299999999999999  |  Y: 6.099999999999996   |   R: 20.187374386809555

Tentativa: 11  X: 10.1  |  Y: 18.20000000000003   |   R: 28.119547713953814

Tentativa: 12  X: 14.300000000000006  |  Y: 6.1   |   R: 20.18737438680956

Tentativa: 13  X: 2.5999999999999996  |  Y: 2.6000000000000014   |   R: 4.633233925779513

Tentativa: 14  X: 2.1000000000000005  |  Y: 18.799999999999997   |   R: 20.440981562370197

Tentativa: 15  X: 6.099999999999996  |  Y: 14.299999999999985   |   R: 20.18737438680956

Tentativa: 16  X: 14.299999999999988  |  Y: 6.1   |   R: 20.18737438680956

Tentativa: 17  X: 2.1000000000000005  |  Y: 18.800000000000033   |   R: 20.440981562370197

Tentativa: 18  X: 18.800000000000026  |  Y: 2.100000000000001   |   R: 20.440981562370197

Tentativa: 19  X: 6.100000000000003  |  Y: 14.299999999999992   |   R: 20.18737438680956

Tentativa: 20  X: 18.200000000000028  |  Y: 10.099999999999996   |   R: 28.119547713953814

Tentativa: 21  X: 18.19999999999999  |  Y: 10.100000000000007   |   R: 28.11954771395383

Tentativa: 22  X: 18.80000000000001  |  Y: 2.1000000000000005   |   R: 20.440981562370197

Tentativa: 23  X: 18.80000000000004  |  Y: 2.099999999999999   |   R: 20.440981562370197

Tentativa: 24  X: 10.8  |  Y: 2.1   |   R: 12.465642892505173

Tentativa: 25  X: 2.100000000000001  |  Y: 10.799999999999994   |   R: 12.465642892505173

Tentativa: 26  X: 14.300000000000006  |  Y: 6.099999999999996   |   R: 20.187374386809555

Tentativa: 27  X: 18.800000000000036  |  Y: 2.1000000000000005   |   R: 20.440981562370197

Tentativa: 28  X: 14.299999999999995  |  Y: 6.0999999999999925   |   R: 20.18737438680956

Tentativa: 29  X: 14.099999999999994  |  Y: 14.1   |   R: 28.11306881127421

Tentativa: 30  X: 14.100000000000003  |  Y: 14.100000000000003   |   R: 28.11306881127421

Tentativa: 31  X: 2.0999999999999983  |  Y: 10.79999999999999   |   R: 12.465642892505171

Tentativa: 32  X: 14.1  |  Y: 14.099999999999989   |   R: 28.113068811274207

Tentativa: 33  X: 6.3000000000000025  |  Y: 6.299999999999995   |   R: 12.251860997010725

Tentativa: 34  X: 20.000000000000014  |  Y: 6.0   |   R: 20.000000000000075

Tentativa: 35  X: 2.100000000000001  |  Y: 10.799999999999983   |   R: 12.465642892505173

Tentativa: 36  X: 14.1  |  Y: 14.099999999999996   |   R: 28.11306881127421

Tentativa: 37  X: 2.1000000000000005  |  Y: 18.799999999999997   |   R: 20.440981562370197

Tentativa: 38  X: 18.200000000000017  |  Y: 10.1   |   R: 28.11954771395382

Tentativa: 39  X: 6.1  |  Y: 14.299999999999992   |   R: 20.18737438680956

Tentativa: 40  X: 14.1  |  Y: 14.100000000000003   |   R: 28.11306881127421

Tentativa: 41  X: 14.299999999999985  |  Y: 6.099999999999996   |   R: 20.18737438680956

Tentativa: 42  X: 2.1000000000000005  |  Y: 18.800000000000026   |   R: 20.440981562370197

Tentativa: 43  X: 18.10000000000003  |  Y: 18.10000000000003   |   R: 36.08840748113923

Tentativa: 44  X: 2.100000000000001  |  Y: 18.80000000000001   |   R: 20.440981562370197

Tentativa: 45  X: 14.300000000000006  |  Y: 6.1   |   R: 20.18737438680956

Tentativa: 46  X: 2.099999999999999  |  Y: 18.800000000000033   |   R: 20.440981562370197

Tentativa: 47  X: 14.100000000000007  |  Y: 14.1   |   R: 28.11306881127421

Tentativa: 48  X: 18.10000000000003  |  Y: 18.099999999999987   |   R: 36.08840748113923

Tentativa: 49  X: 18.80000000000004  |  Y: 2.100000000000001   |   R: 20.440981562370197

Tentativa: 50  X: 6.299999999999992  |  Y: 6.299999999999992   |   R: 12.251860997010729
